"service_id","date","exception_type"
"929AFEE0","20250821","1"
"929AFEE0","20250822","1"
"929AFEE0","20250825","1"
"929AFEE0","20250826","1"
"929AFEE0","20250827","1"
"929AFEE0","20250828","1"
"929AFEE0","20250829","1"
"7DF045D4","20250612","1"
"7DF045D4","20250723","1"
"7DF045D4","20250806","1"
"FDEAB33D","20250614","1"
"FDEAB33D","20250615","1"
"FDEAB33D","20250628","1"
"FDEAB33D","20250629","1"
"FDEAB33D","20250704","1"
"FDEAB33D","20250705","1"
"FDEAB33D","20250706","1"
"FDEAB33D","20250712","1"
"FDEAB33D","20250713","1"
"FDEAB33D","20250719","1"
"FDEAB33D","20250720","1"
"FDEAB33D","20250726","1"
"FDEAB33D","20250727","1"
"FDEAB33D","20250802","1"
"FDEAB33D","20250803","1"
"FDEAB33D","20250809","1"
"FDEAB33D","20250810","1"
"FDEAB33D","20250816","1"
"FDEAB33D","20250817","1"
"FDEAB33D","20250823","1"
"FDEAB33D","20250824","1"
"FDEAB33D","20250830","1"
"FDEAB33D","20250831","1"
"FDEAB33D","20250901","1"
"6B8578E8","20250607","1"
"6B8578E8","20250608","1"
"6B8578E8","20250621","1"
"6B8578E8","20250622","1"
"E33669F6","20250608","1"
"E33669F6","20250609","1"
"E33669F6","20250622","1"
"E33669F6","20250623","1"
"39305787","20250607","1"
"39305787","20250621","1"
"D8DC385D","20250604","1"
"D8DC385D","20250605","1"
"D8DC385D","20250609","1"
"D8DC385D","20250610","1"
"D8DC385D","20250611","1"
"D8DC385D","20250612","1"
"D8DC385D","20250613","1"
"D8DC385D","20250616","1"
"D8DC385D","20250617","1"
"D8DC385D","20250618","1"
"D8DC385D","20250619","1"
"D8DC385D","20250623","1"
"D8DC385D","20250624","1"
"D8DC385D","20250625","1"
"D8DC385D","20250626","1"
"D8DC385D","20250627","1"
"D8DC385D","20250630","1"
"D8DC385D","20250701","1"
"D8DC385D","20250702","1"
"D8DC385D","20250703","1"
"D8DC385D","20250707","1"
"D8DC385D","20250708","1"
"D8DC385D","20250709","1"
"D8DC385D","20250710","1"
"D8DC385D","20250711","1"
"D8DC385D","20250714","1"
"D8DC385D","20250715","1"
"D8DC385D","20250716","1"
"D8DC385D","20250717","1"
"D8DC385D","20250718","1"
"D8DC385D","20250721","1"
"D8DC385D","20250722","1"
"D8DC385D","20250723","1"
"D8DC385D","20250724","1"
"D8DC385D","20250725","1"
"D8DC385D","20250728","1"
"D8DC385D","20250729","1"
"D8DC385D","20250730","1"
"D8DC385D","20250731","1"
"D8DC385D","20250801","1"
"D8DC385D","20250804","1"
"D8DC385D","20250805","1"
"D8DC385D","20250806","1"
"D8DC385D","20250807","1"
"D8DC385D","20250808","1"
"D8DC385D","20250811","1"
"D8DC385D","20250812","1"
"D8DC385D","20250813","1"
"D8DC385D","20250814","1"
"D8DC385D","20250815","1"
"D8DC385D","20250818","1"
"D8DC385D","20250819","1"
"D8DC385D","20250820","1"
"D8DC385D","20250821","1"
"D8DC385D","20250822","1"
"D8DC385D","20250825","1"
"D8DC385D","20250826","1"
"D8DC385D","20250827","1"
"D8DC385D","20250828","1"
"D8DC385D","20250829","1"
"E8879671","20250606","1"
"E8879671","20250620","1"
"B98285BA","20250604","1"
"B98285BA","20250605","1"
"B98285BA","20250606","1"
"B98285BA","20250610","1"
"B98285BA","20250611","1"
"B98285BA","20250612","1"
"B98285BA","20250613","1"
"B98285BA","20250616","1"
"B98285BA","20250617","1"
"B98285BA","20250618","1"
"B98285BA","20250619","1"
"B98285BA","20250620","1"
"B98285BA","20250624","1"
"B98285BA","20250625","1"
"B98285BA","20250626","1"
"B98285BA","20250627","1"
"B98285BA","20250630","1"
"B98285BA","20250701","1"
"B98285BA","20250702","1"
"B98285BA","20250703","1"
"B98285BA","20250707","1"
"B98285BA","20250708","1"
"B98285BA","20250709","1"
"B98285BA","20250710","1"
"B98285BA","20250711","1"
"B98285BA","20250714","1"
"B98285BA","20250715","1"
"B98285BA","20250716","1"
"B98285BA","20250717","1"
"B98285BA","20250718","1"
"B98285BA","20250721","1"
"B98285BA","20250722","1"
"B98285BA","20250723","1"
"B98285BA","20250724","1"
"B98285BA","20250725","1"
"B98285BA","20250728","1"
"B98285BA","20250729","1"
"B98285BA","20250730","1"
"B98285BA","20250731","1"
"B98285BA","20250801","1"
"B98285BA","20250804","1"
"B98285BA","20250805","1"
"B98285BA","20250806","1"
"B98285BA","20250807","1"
"B98285BA","20250808","1"
"B98285BA","20250811","1"
"B98285BA","20250812","1"
"B98285BA","20250813","1"
"B98285BA","20250814","1"
"B98285BA","20250815","1"
"B98285BA","20250818","1"
"B98285BA","20250819","1"
"B98285BA","20250820","1"
"B98285BA","20250821","1"
"B98285BA","20250822","1"
"B98285BA","20250825","1"
"B98285BA","20250826","1"
"B98285BA","20250827","1"
"B98285BA","20250828","1"
"B98285BA","20250829","1"
"58CE1625","20250609","1"
"58CE1625","20250623","1"
"76DE281F","20250604","1"
"76DE281F","20250605","1"
"76DE281F","20250606","1"
"76DE281F","20250609","1"
"76DE281F","20250610","1"
"76DE281F","20250611","1"
"76DE281F","20250612","1"
"76DE281F","20250616","1"
"76DE281F","20250617","1"
"76DE281F","20250618","1"
"76DE281F","20250619","1"
"76DE281F","20250620","1"
"76DE281F","20250623","1"
"76DE281F","20250624","1"
"76DE281F","20250625","1"
"76DE281F","20250626","1"
"76DE281F","20250627","1"
"76DE281F","20250630","1"
"76DE281F","20250701","1"
"76DE281F","20250702","1"
"76DE281F","20250703","1"
"76DE281F","20250707","1"
"76DE281F","20250708","1"
"76DE281F","20250709","1"
"76DE281F","20250710","1"
"76DE281F","20250711","1"
"76DE281F","20250714","1"
"76DE281F","20250715","1"
"76DE281F","20250716","1"
"76DE281F","20250717","1"
"76DE281F","20250718","1"
"76DE281F","20250721","1"
"76DE281F","20250722","1"
"76DE281F","20250723","1"
"76DE281F","20250724","1"
"76DE281F","20250725","1"
"76DE281F","20250728","1"
"76DE281F","20250729","1"
"76DE281F","20250730","1"
"76DE281F","20250731","1"
"76DE281F","20250801","1"
"76DE281F","20250804","1"
"76DE281F","20250805","1"
"76DE281F","20250806","1"
"76DE281F","20250807","1"
"76DE281F","20250808","1"
"76DE281F","20250811","1"
"76DE281F","20250812","1"
"76DE281F","20250813","1"
"76DE281F","20250814","1"
"76DE281F","20250815","1"
"76DE281F","20250818","1"
"76DE281F","20250819","1"
"76DE281F","20250820","1"
"76DE281F","20250821","1"
"76DE281F","20250822","1"
"76DE281F","20250825","1"
"76DE281F","20250826","1"
"76DE281F","20250827","1"
"76DE281F","20250828","1"
"76DE281F","20250829","1"
"F84070F8","20250613","1"
"EC414C09","20250606","1"
"EC414C09","20250620","1"
"EC414C09","20250623","1"
"EC414C09","20250624","1"
"EC414C09","20250625","1"
"EC414C09","20250626","1"
"EC414C09","20250627","1"
"EC414C09","20250630","1"
"EC414C09","20250701","1"
"EC414C09","20250702","1"
"EC414C09","20250703","1"
"EC414C09","20250707","1"
"EC414C09","20250708","1"
"EC414C09","20250709","1"
"EC414C09","20250710","1"
"EC414C09","20250711","1"
"EC414C09","20250714","1"
"EC414C09","20250715","1"
"EC414C09","20250716","1"
"EC414C09","20250717","1"
"EC414C09","20250718","1"
"EC414C09","20250721","1"
"EC414C09","20250722","1"
"EC414C09","20250723","1"
"EC414C09","20250724","1"
"EC414C09","20250725","1"
"EC414C09","20250728","1"
"EC414C09","20250729","1"
"EC414C09","20250730","1"
"EC414C09","20250731","1"
"EC414C09","20250801","1"
"EC414C09","20250804","1"
"EC414C09","20250805","1"
"EC414C09","20250806","1"
"EC414C09","20250807","1"
"EC414C09","20250808","1"
"EC414C09","20250811","1"
"EC414C09","20250812","1"
"EC414C09","20250813","1"
"EC414C09","20250814","1"
"EC414C09","20250815","1"
"EC414C09","20250818","1"
"EC414C09","20250819","1"
"EC414C09","20250820","1"
"EC414C09","20250821","1"
"EC414C09","20250822","1"
"EC414C09","20250825","1"
"EC414C09","20250826","1"
"EC414C09","20250827","1"
"EC414C09","20250828","1"
"EC414C09","20250829","1"
"9B89B7F5","20250607","1"
"9B89B7F5","20250608","1"
"9B89B7F5","20250615","1"
"9B89B7F5","20250621","1"
"9B89B7F5","20250622","1"
"9B89B7F5","20250628","1"
"9B89B7F5","20250629","1"
"9B89B7F5","20250704","1"
"9B89B7F5","20250705","1"
"9B89B7F5","20250706","1"
"9B89B7F5","20250712","1"
"9B89B7F5","20250713","1"
"9B89B7F5","20250719","1"
"9B89B7F5","20250720","1"
"9B89B7F5","20250726","1"
"9B89B7F5","20250727","1"
"9B89B7F5","20250802","1"
"9B89B7F5","20250803","1"
"9B89B7F5","20250809","1"
"9B89B7F5","20250810","1"
"9B89B7F5","20250816","1"
"9B89B7F5","20250817","1"
"9B89B7F5","20250823","1"
"9B89B7F5","20250824","1"
"9B89B7F5","20250830","1"
"9B89B7F5","20250831","1"
"9B89B7F5","20250901","1"
"FD1037E6","20250614","1"
"D27AD7F9","20250607","1"
"D27AD7F9","20250608","1"
"D27AD7F9","20250621","1"
"D27AD7F9","20250622","1"
"D27AD7F9","20250628","1"
"D27AD7F9","20250629","1"
"D27AD7F9","20250704","1"
"D27AD7F9","20250705","1"
"D27AD7F9","20250706","1"
"D27AD7F9","20250712","1"
"D27AD7F9","20250713","1"
"D27AD7F9","20250719","1"
"D27AD7F9","20250720","1"
"D27AD7F9","20250726","1"
